PASS_PRESCREEN,FAILED_ATTN_CHECK,RecordedDate,Q-requirements-1,Q-requirements-2,Q-attn-check-1,Q-prolific-mturk,Q-mturk-account,Q-attn-check-2,Duration (in seconds),ResponseId,version,Q-followup-study,connect,Age,Sex,Ethnicity simplified,Country of birth,Nationality,Student status,Employment status
true,,2022-11-08 09:28:26,Yes,Yes,No,No,,No,47,R_BxgguSYsIhVnTgd,v1,,,26,Female,White,United States,United States,No,Part-Time
,,2022-11-08 09:30:00,Yes,No,,,,,13,R_1hLtMIh3830CaBJ,v1,,,25,Female,White,United States,United States,No,Full-Time
true,,2022-11-08 09:31:21,Yes,Yes,No,No,,No,44,R_2Rayp4UyQbOQ9aN,v1,,,23,Female,Other,United States,United States,No,Unemployed (and job seeking)
true,,2022-11-08 09:32:12,Yes,Yes,No,Yes,No,No,43,R_1hMU5UkB1NsJGz9,v1,,,35,Male,White,United States,United States,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
true,,2022-11-08 09:32:25,Yes,Yes,No,No,,No,44,R_24u5YM7fAxIj5zS,v1,,,35,Male,White,United States,United States,DATA_EXPIRED,DATA_EXPIRED
true,,2022-11-08 09:32:30,Yes,Yes,No,No,,No,28,R_eE8djZDoKFdPffb,v1,,,31,Female,White,United States,United States,No,DATA_EXPIRED
true,,2022-11-08 09:33:35,Yes,Yes,No,No,,No,44,R_dbc8OKtZbwJv1mh,v1,,,30,Female,White,United States,United States,No,DATA_EXPIRED
true,,2022-11-08 09:33:43,Yes,Yes,No,No,,No,39,R_23WvXgAXm7FFsPy,v1,,,45,Female,White,United States,United States,No,DATA_EXPIRED
,,2022-11-08 09:34:08,Yes,No,,,,,27,R_1FqTIwUwTjEIsah,v1,,,25,Female,White,United States,United States,Yes,Full-Time
true,,2022-11-08 09:34:27,Yes,Yes,No,No,,No,82,R_3Pis9osOpvjTHu0,v1,,,35,Female,Black,United States,United States,DATA_EXPIRED,DATA_EXPIRED
true,,2022-11-08 09:34:58,Yes,Yes,No,No,,No,63,R_25Y0qLWnpxxBNsD,v1,,,51,Female,White,DATA_EXPIRED,United States,DATA_EXPIRED,DATA_EXPIRED
true,,2022-11-08 09:35:03,Yes,Yes,No,No,,No,69,R_27k5MVthe1fLL4e,v1,,,57,Female,White,United States,United States,DATA_EXPIRED,DATA_EXPIRED
true,,2022-11-08 09:35:17,Yes,Yes,No,No,,No,31,R_1mKSsJhK412RnEp,v1,,,23,Male,White,United States,United States,Yes,Other
true,,2022-11-08 09:35:34,Yes,Yes,No,No,,No,60,R_2dRccDXrsHybRIy,v1,,,56,Male,Mixed,United States,United States,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
,,2022-11-08 09:36:03,No,,,,,,8,R_1H69QFn5QCkm50O,v1,,,34,Male,White,United States,United States,DATA_EXPIRED,DATA_EXPIRED
true,,2022-11-08 09:36:36,Yes,Yes,No,No,,No,161,R_VPxiWLrujA7RSUh,v1,,,31,Female,White,United States,United States,No,DATA_EXPIRED
true,,2022-11-08 09:37:09,Yes,Yes,No,No,,No,30,R_2uwyhwb1kz8xv0U,v1,,,30,Female,White,United States,United States,No,Part-Time
true,,2022-11-08 09:37:38,Yes,Yes,No,No,,No,58,R_2wT68Q5QmXrbcny,v1,,,40,Female,Black,United States,United States,No,Full-Time
true,,2022-11-08 09:37:44,Yes,Yes,No,No,,No,41,R_3scDH2dMMQDV5ti,v1,,,21,Male,White,United States,United States,No,Unemployed (and job seeking)
true,,2022-11-08 09:37:44,Yes,Yes,No,No,,No,28,R_1iktkHuxcFrS40u,v1,,,24,Male,White,United States,United States,No,DATA_EXPIRED
true,,2022-11-08 09:37:46,Yes,Yes,No,Yes,Yes,No,57,R_1DBXeXcbUkHG61a,v1,,,48,Female,White,United States,United States,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
,,2022-11-08 09:38:04,No,,,,,,11,R_Y6wQPAQ4PlQev8B,v1,,,25,Female,Black,DATA_EXPIRED,United States,DATA_EXPIRED,DATA_EXPIRED
true,,2022-11-08 09:38:16,Yes,Yes,No,No,,No,27,R_1Doup0eL7JWVHRF,v1,,,37,Male,White,United States,United States,No,Full-Time
true,,2022-11-08 09:38:25,Yes,Yes,No,No,,No,32,R_1laZC8dX5av3Skr,v1,,,33,Male,White,DATA_EXPIRED,United States,DATA_EXPIRED,DATA_EXPIRED
true,,2022-11-08 09:39:10,Yes,Yes,No,Yes,No,No,23,R_27eAmHcRNzHnUEO,v1,,,27,Female,White,United States,United States,No,DATA_EXPIRED
true,,2022-11-08 09:39:14,Yes,Yes,No,No,,No,50,R_2lT6S1r6xBubrsB,v1,,,33,Female,White,United States,United States,No,Full-Time
true,,2022-11-08 09:39:46,Yes,Yes,No,Yes,No,No,31,R_xseR9MsG9HmtcRz,v1,,,35,Male,White,United States,United States,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
true,,2022-11-08 09:39:53,Yes,Yes,No,No,,No,49,R_1PdbkQ28pUds1iD,v1,,,60,Male,White,United States,United States,DATA_EXPIRED,DATA_EXPIRED
,,2022-11-08 09:39:55,Yes,No,,,,,10,R_31MGWho7k0sZ1Ha,v1,,,24,Male,White,United States,United States,No,DATA_EXPIRED
true,,2022-11-08 09:40:19,Yes,Yes,No,No,,No,37,R_3ISp1gSzQJtZLYv,v1,,,25,Female,DATA_EXPIRED,United States,United States,DATA_EXPIRED,DATA_EXPIRED
true,,2022-11-08 09:40:39,Yes,Yes,No,No,,No,57,R_1Qxwy9OlTxiVdpe,v1,,,22,Female,White,United States,United States,Yes,Due to start a new job within the next month
true,,2022-11-08 09:41:15,Yes,Yes,No,Yes,No,No,25,R_246J0sO5d5C53u7,v1,,,36,Female,Asian,Japan,United States,No,DATA_EXPIRED
true,,2022-11-08 09:41:30,Yes,Yes,No,No,,No,35,R_3kFjzjD8I5kJOnl,v1,,,21,Female,White,United States,United States,DATA_EXPIRED,DATA_EXPIRED
true,,2022-11-08 09:43:00,Yes,Yes,No,No,,No,51,R_3rP2sMUQSRBSXUe,v1,,,40,Male,White,United States,United States,Yes,"Not in paid work (e.g. homemaker', 'retired or disabled)"
true,,2022-11-08 09:43:19,Yes,Yes,No,Yes,Yes,No,37,R_RsNiUi5TFYUj8xX,v1,,,32,Male,White,United States,United States,DATA_EXPIRED,DATA_EXPIRED
true,,2022-11-08 09:43:30,Yes,Yes,No,Yes,No,No,50,R_2lDL2lz8SwFn7W1,v1,,,51,Female,White,United States,United States,No,Part-Time
true,,2022-11-08 09:43:31,Yes,Yes,No,No,,No,31,R_3lzPVAB2vkpSZjy,v1,,,40,Male,White,United States,United States,No,Full-Time
true,,2022-11-08 09:44:40,Yes,Yes,No,No,,No,55,R_UDX5jrcwCxA39Zf,v1,,,61,Female,White,United States,United States,DATA_EXPIRED,Other
true,,2022-11-08 09:44:55,Yes,Yes,No,Yes,No,No,37,R_1NqQ54j7qItjgZ2,v1,,,37,Female,White,United States,United States,No,Full-Time
true,,2022-11-08 09:45:01,Yes,Yes,No,No,,No,42,R_3KVCXFcUKrxmL67,v1,,,24,Female,Black,United States,United States,No,Due to start a new job within the next month
true,,2022-11-08 09:45:04,Yes,Yes,No,No,,No,72,R_1n2CC8DEAQUr0Fl,v1,,,24,Female,White,United States,United States,Yes,Part-Time
,,2022-11-08 09:45:05,Yes,No,,,,,10,R_bDAY7AOdWgOEQ7v,v1,,,29,Male,White,United States,United States,DATA_EXPIRED,DATA_EXPIRED
true,,2022-11-08 09:45:42,Yes,Yes,No,No,,No,35,R_2VywbYujZKdR24A,v1,,,39,Female,White,United States,United States,No,Part-Time
true,,2022-11-08 09:46:14,Yes,Yes,No,Yes,Yes,No,41,R_2DYAGhAnp3XsuwS,v1,,,30,Female,White,United States,United States,Yes,Full-Time
true,,2022-11-08 09:46:31,Yes,Yes,No,No,,No,28,R_3HpMqqbvEgO32v8,v1,,,25,Female,White,United States,United States,No,Full-Time
true,,2022-11-08 09:46:32,Yes,Yes,No,No,,No,40,R_2OI1pHd7qzJ2aam,v1,,,31,Male,White,United States,United States,DATA_EXPIRED,Full-Time
true,,2022-11-08 09:47:00,Yes,Yes,No,Yes,No,No,34,R_3FLjW5VMZ3KKf5e,v1,,,31,Female,White,United States,United States,No,Unemployed (and job seeking)
true,,2022-11-08 09:47:04,Yes,Yes,No,Yes,No,No,41,R_w7PKwYwth4cwq4x,v1,,,24,Female,Mixed,United States,United States,No,Full-Time
true,,2022-11-08 09:48:14,Yes,Yes,No,No,,No,54,R_1IorE2jPsBLZ6Bk,v1,,,39,Female,White,United States,United States,No,DATA_EXPIRED
true,,2022-11-08 09:48:29,Yes,Yes,No,No,,No,204,R_2XnWz6gtgPpHFk4,v1,,,30,Female,White,United States,United States,Yes,Unemployed (and job seeking)
true,,2022-11-09 08:11:11,Yes,Yes,No,No,,No,43,R_1FgKcN5AyLyjEwv,v1,,,43,Female,White,United States,United States,DATA_EXPIRED,DATA_EXPIRED
true,,2022-11-09 08:11:18,Yes,Yes,No,No,,No,33,R_vpJ4NrLcrvATyHD,v1,,,45,Female,White,United States,United States,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
true,,2022-11-09 08:11:24,Yes,Yes,No,Yes,Yes,No,37,R_1QhlEzuijGlc6Gs,v1,,,20,Female,White,United States,United States,No,Unemployed (and job seeking)
true,,2022-11-09 08:11:28,Yes,Yes,No,Yes,No,No,36,R_1mW5aQ7HJWYbk9M,v1,,,39,Male,White,United States,United States,No,DATA_EXPIRED
true,,2022-11-09 08:11:28,Yes,Yes,No,Yes,No,No,52,R_1P7V2JwsxF0nRrY,v1,,,40,Female,White,United States,United States,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
true,,2022-11-09 08:11:34,Yes,Yes,No,No,,No,33,R_DCBImTeV7zSG6mB,v1,,,33,Male,White,United States,United States,No,Full-Time
true,,2022-11-09 08:11:39,Yes,Yes,No,Yes,No,No,27,R_21tZyampDYXUzFO,v1,,,41,Male,White,United States,United States,DATA_EXPIRED,DATA_EXPIRED
true,,2022-11-09 08:11:51,Yes,Yes,No,No,,No,59,R_UmPZ5KGj060qj9n,v1,,,26,Male,White,United States,United States,DATA_EXPIRED,DATA_EXPIRED
,,2022-11-09 08:11:52,Yes,No,,,,,21,R_xFw9IjD6aU6Kewp,v1,,,2,Female,Black,United States,United States,No,Full-Time
true,,2022-11-09 08:11:56,Yes,Yes,No,No,,No,31,R_1C7xqXJ2UOempcF,v1,,,28,Female,White,United States,United States,No,Full-Time
true,,2022-11-09 08:11:59,Yes,Yes,No,Yes,No,No,33,R_dprJPz2cp1hhkzf,v1,,,34,Female,White,United States,United States,No,DATA_EXPIRED
true,,2022-11-09 08:12:22,Yes,Yes,No,Yes,No,No,60,R_A7kGwRAuHUFI2Hv,v1,,,42,Male,White,United States,United States,No,Full-Time
true,,2022-11-09 08:12:27,Yes,Yes,No,No,,No,81,R_2VqqdmAjcEmFLn3,v1,,,50,Male,Black,United States,United States,No,DATA_EXPIRED
true,,2022-11-09 08:12:51,Yes,Yes,No,No,,No,32,R_30uiFZoQk8QsrBm,v1,,,24,Female,Black,United States,United States,DATA_EXPIRED,DATA_EXPIRED
true,,2022-11-09 08:12:51,Yes,Yes,No,No,,No,40,R_ePpiqxPIP9vHDYB,v1,,,48,Male,Asian,Philippines,United States,No,DATA_EXPIRED
true,,2022-11-09 08:13:16,Yes,Yes,No,No,,No,35,R_1nOCQTuCMstLrjr,v1,,,31,Female,White,United States,United States,DATA_EXPIRED,DATA_EXPIRED
true,,2022-11-09 08:13:29,Yes,Yes,No,Yes,No,No,60,R_1isLtrFpcsIgp8I,v1,,,DATA_EXPIRED,Male,White,United States,United States,DATA_EXPIRED,DATA_EXPIRED
true,,2022-11-09 08:13:31,Yes,Yes,No,No,,No,34,R_1MN9uHdbCWGEKFr,v1,,,37,Male,Asian,United States,United States,DATA_EXPIRED,DATA_EXPIRED
true,,2022-11-09 08:13:42,Yes,Yes,No,No,,No,70,R_3iQBK56JFL2APb6,v1,,,23,Female,Other,United States,United States,No,Full-Time
true,,2022-11-09 08:13:44,Yes,Yes,No,No,,No,42,R_3lxC7289jLMSwar,v1,,,25,Female,White,United States,United States,No,Full-Time
,,2022-11-09 08:14:03,Yes,No,,,,,14,R_1EapxVs22Up0sJE,v1,,,20,Female,White,United States,United States,Yes,Other
true,,2022-11-09 08:14:03,Yes,Yes,No,No,,No,37,R_211CRfMHILceq0d,v1,,,22,Male,White,United States,United States,Yes,Part-Time
true,,2022-11-09 08:14:04,Yes,Yes,No,No,,No,61,R_2CZYVFkBdPwaZbX,v1,,,26,Male,White,United States,United States,No,Full-Time
true,,2022-11-09 08:14:05,Yes,Yes,No,No,,No,47,R_1QGU7pvttIhnpmS,v1,,,30,Female,White,United States,United States,No,Full-Time
true,,2022-11-09 08:14:11,Yes,Yes,No,Yes,Yes,No,36,R_Z1O90BfVwKvYk5H,v1,,,38,Male,White,United States,United States,No,Full-Time
,,2022-11-09 08:14:13,Yes,No,,,,,8,R_R3kHn2tFPSixrmF,v1,,,28,Male,Asian,United States,United States,No,Full-Time
true,,2022-11-09 08:14:26,Yes,Yes,No,No,,No,40,R_2fvXgPQ7DbeTlbk,v1,,,31,Male,White,United States,United States,DATA_EXPIRED,DATA_EXPIRED
true,,2022-11-09 08:14:29,Yes,Yes,No,No,,No,32,R_DGhHQusFJcAlCNP,v1,,,22,Male,Mixed,United States,United States,Yes,Part-Time
true,,2022-11-09 08:14:32,Yes,Yes,No,Yes,No,No,137,R_UGCLmKPrAN7EnLP,v1,,,31,Male,White,United States,United States,No,Full-Time
true,,2022-11-09 08:14:46,Yes,Yes,No,Yes,No,No,32,R_24wxKP4QZIKVhTo,v1,,,34,Male,White,United States,United States,No,Full-Time
true,,2022-11-09 08:14:59,Yes,Yes,No,Yes,No,No,51,R_Z4aG8KPmkTtIzi9,v1,,,54,Female,White,Canada,United States,No,Part-Time
true,,2022-11-09 08:15:08,Yes,Yes,No,Yes,No,No,41,R_1IB0dLMfHk0eHXL,v1,,,43,Female,White,United States,United States,No,Unemployed (and job seeking)
true,,2022-11-09 08:15:09,Yes,Yes,No,Yes,No,No,40,R_3Lh8RBiToJepkZt,v1,,,33,Male,Asian,Macao,United States,No,Full-Time
,,2022-11-09 08:15:24,Yes,No,,,,,9,R_1rGobEsbx2aDEkl,v1,,,29,Female,White,United States,United States,No,Full-Time
true,,2022-11-09 08:15:47,Yes,Yes,No,No,,No,41,R_29hrgh5pl7eHGaq,v1,,,77,Male,White,United States,United States,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
true,,2022-11-09 08:16:05,Yes,Yes,No,No,,No,38,R_1hKjTZxBX1EQoXu,v1,,,39,Male,Black,DATA_EXPIRED,United States,No,DATA_EXPIRED
true,,2022-11-09 08:16:12,Yes,Yes,No,Yes,No,No,30,R_2rhVYxAkpBVwA6g,v1,,,37,Male,Asian,China,United States,No,DATA_EXPIRED
true,,2022-11-09 08:16:43,Yes,Yes,No,No,,No,42,R_QfBKk69FBIPA5tn,v1,,,21,Female,White,United States,United States,Yes,Full-Time
true,,2022-11-09 08:17:11,Yes,Yes,No,No,,No,34,R_OxLQMVLSgJbYY1z,v1,,,19,Female,Black,United States,United States,Yes,DATA_EXPIRED
true,,2022-11-09 08:17:38,Yes,Yes,No,No,,No,57,R_2SdGyfzJro6DMW7,v1,,,73,Female,White,United States,United States,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
true,,2022-11-09 08:17:54,Yes,Yes,No,Yes,No,No,54,R_XXkwWNXZGKkJnkR,v1,,,59,Female,White,United States,United States,Yes,Full-Time
true,,2022-11-09 08:17:57,Yes,Yes,No,Yes,Yes,No,57,R_1AH7wxM4HrqAXId,v1,,,33,Female,White,United States,United States,No,DATA_EXPIRED
true,,2022-11-09 08:18:08,Yes,Yes,No,Yes,No,No,56,R_vejTkZGIa356fBf,v1,,,29,Female,White,United States,United States,No,DATA_EXPIRED
true,,2022-11-09 08:18:20,Yes,Yes,No,Yes,No,No,39,R_cBUByqoAkAiunXH,v1,,,48,Female,White,United States,United States,DATA_EXPIRED,DATA_EXPIRED
true,,2022-11-09 08:18:23,Yes,Yes,No,No,,No,37,R_2qfMz1nUPHfEpxs,v1,,,32,Female,White,United States,United States,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
true,,2022-11-09 08:18:37,Yes,Yes,No,No,,No,28,R_3rMaU51A8Stq1Cm,v1,,,32,Male,White,United States,United States,DATA_EXPIRED,DATA_EXPIRED
true,,2022-11-09 08:19:12,Yes,Yes,No,Yes,No,No,42,R_308lx48BwQMAGdX,v1,,,42,Female,White,United States,United States,No,Full-Time
true,,2022-11-09 08:19:44,Yes,Yes,No,Yes,No,No,57,R_2fpJ6yOWVHI6Etd,v1,,,35,Female,Black,United States,United States,No,DATA_EXPIRED
true,,2022-11-09 08:19:44,Yes,Yes,No,Yes,No,No,44,R_1ez8WJbXEirx8JR,v1,,,48,Female,White,United States,United States,No,Part-Time
true,,2022-11-09 08:19:53,Yes,Yes,No,Yes,No,No,39,R_Qmj1MBiBsy3bBwl,v1,,,25,Female,Asian,United States,United States,Yes,Part-Time
true,,2022-11-09 08:19:54,Yes,Yes,No,No,,No,30,R_1EYb5bRvdKh7s53,v1,,,32,Female,White,United States,United States,DATA_EXPIRED,DATA_EXPIRED
,,2022-11-09 08:20:09,Yes,No,,,,,14,R_6JqdQBQAitWssil,v1,,,26,Female,White,United States,United States,Yes,DATA_EXPIRED
