State,State Name,NAICS,NAICS Description,Enterprise Size,Establishments 2018,Establishments 2019,Establishments 2020,Establishments 2021,Employment 2018,Employment 2019,Employment 2020,Employment 2021,,2018 population,2019 population,2020 population,,2020 population w 2020 base,2021 population with 2020 base,,2018 employment/population,2019 employment/population,,2018-2019 employment/population percent change,,2018-2021 establishments percent change,2019-2021 establishments percent change
12,Florida,446110,Pharmacies and Drug Stores,01: Total,"3,011","2,984","2,971","2,976","47,527","48,018","47,067","48,461",,"21,254,926","21,492,056","21,733,312",,"21,589,602","21,828,069",,0.002236046364,0.002234220867,,-0.0008163947715,,-0.01162404517,-0.002680965147
13,Georgia,446110,Pharmacies and Drug Stores,01: Total,"1,444","1,465","1,471","1,429","20,142","19,148","19,141","19,335",,"10,519,389","10,628,020","10,710,017",,"10,729,828","10,788,029",,0.001914749992,0.001801652613,,-0.05906639484,,-0.01038781163,-0.02457337884
15,Hawaii,446110,Pharmacies and Drug Stores,01: Total,154,152,150,151,"2,525","2,445","2,395","2,419",,"1,423,102","1,415,615","1,407,006",,"1,451,043","1,447,154",,0.001774293058,0.001727164519,,-0.02656186901,,-0.01948051948,-0.006578947368
16,Idaho,446110,Pharmacies and Drug Stores,01: Total,145,146,144,154,"2,072","2,053","1,986","2,150",,"1,752,074","1,789,060","1,826,913",,"1,849,202","1,904,314",,0.001182598452,0.001147529988,,-0.02965373751,,0.06206896552,0.05479452055
17,Illinois,446110,Pharmacies and Drug Stores,01: Total,"1,665","1,658","1,625","1,602","33,416","33,557","33,074","33,400",,"12,724,685","12,667,017","12,587,530",,"12,786,580","12,686,469",,0.002626076795,0.002649163572,,0.008791356382,,-0.03783783784,-0.03377563329
18,Indiana,446110,Pharmacies and Drug Stores,01: Total,763,823,777,775,"14,169","15,687","15,131","15,342",,"6,698,481","6,731,010","6,754,953",,"6,788,799","6,813,532",,0.002115255683,0.002330556633,,0.1017848347,,0.01572739187,-0.05832320778
19,Iowa,446110,Pharmacies and Drug Stores,01: Total,383,388,393,381,"6,309","6,564","6,655","6,733",,"3,149,900","3,159,596","3,163,561",,"3,190,571","3,197,689",,0.002002920728,0.002077480792,,0.03722566908,,-0.005221932115,-0.01804123711
20,Kansas,446110,Pharmacies and Drug Stores,01: Total,358,349,334,348,"5,315","5,458","5,436","5,225",,"2,912,748","2,912,635","2,913,805",,"2,937,919","2,937,922",,0.001824737327,0.001873904557,,0.02694482619,,-0.02793296089,-0.002865329513
21,Kentucky,446110,Pharmacies and Drug Stores,01: Total,808,830,847,831,"11,408","12,281","11,533","11,158",,"4,464,273","4,472,345","4,477,251",,"4,507,445","4,506,589",,0.002555399278,0.002745986725,,0.07458225764,,0.02846534653,0.001204819277
22,Louisiana,446110,Pharmacies and Drug Stores,01: Total,870,892,877,820,"12,771","12,562","12,405","12,298",,"4,664,450","4,658,285","4,645,318",,"4,651,664","4,627,098",,0.00273794338,0.00269670061,,-0.01506341248,,-0.05747126437,-0.08071748879
23,Maine,446110,Pharmacies and Drug Stores,01: Total,196,200,191,194,"2,692","2,317","2,370","2,263",,"1,340,123","1,345,770","1,350,141",,"1,363,557","1,377,238",,0.002008770837,0.001721690928,,-0.1429132202,,-0.01020408163,-0.03
24,Maryland,446110,Pharmacies and Drug Stores,01: Total,768,775,773,765,"11,756","11,288","10,997","10,733",,"6,042,153","6,054,954","6,055,802",,"6,173,205","6,174,610",,0.00194566407,0.001864258589,,-0.04183943299,,-0.00390625,-0.01290322581
25,Massachusetts,446110,Pharmacies and Drug Stores,01: Total,898,932,933,916,"18,003","17,567","17,571","16,997",,"6,885,720","6,894,883","6,893,574",,"6,995,729","6,989,690",,0.002614541399,0.002547831486,,-0.0255149575,,0.02004454343,-0.01716738197
26,Michigan,446110,Pharmacies and Drug Stores,01: Total,"1,740","1,722","1,682","1,666","21,459","20,075","19,614","19,266",,"9,987,286","9,984,795","9,966,555",,"10,069,577","10,037,504",,0.00214863177,0.002010557052,,-0.06426169451,,-0.04252873563,-0.0325203252
27,Minnesota,446110,Pharmacies and Drug Stores,01: Total,561,558,532,513,"10,096","10,154","10,223","10,356",,"5,608,762","5,640,053","5,657,342",,"5,709,852","5,711,471",,0.001800040722,0.001800337692,,0.000164979525,,-0.08556149733,-0.08064516129
28,Mississippi,446110,Pharmacies and Drug Stores,01: Total,581,600,611,498,"7,329","7,077","6,832","6,621",,"2,982,879","2,978,227","2,966,786",,"2,958,141","2,949,586",,0.002457022226,0.002376246001,,-0.03287565883,,-0.1428571429,-0.17
29,Missouri,446110,Pharmacies and Drug Stores,01: Total,786,796,763,727,"12,642","13,075","12,467","12,290",,"6,125,986","6,140,475","6,151,548",,"6,153,998","6,169,823",,0.002063667792,0.0021293141,,0.03181050214,,-0.07506361323,-0.08668341709
30,Montana,446110,Pharmacies and Drug Stores,01: Total,115,116,109,113,"1,415","1,453","1,424","1,392",,"1,061,818","1,070,123","1,080,577",,"1,087,075","1,106,227",,0.001332620091,0.001357787843,,0.01888591658,,-0.01739130435,-0.02586206897
31,Nebraska,446110,Pharmacies and Drug Stores,01: Total,257,256,251,244,"3,984","3,977","4,048","3,887",,"1,925,512","1,932,571","1,937,552",,"1,962,642","1,963,554",,0.002069060073,0.002057880409,,-0.005403257482,,-0.05058365759,-0.046875
32,Nevada,446110,Pharmacies and Drug Stores,01: Total,293,290,287,283,"5,392","5,449","5,471","5,553",,"3,030,725","3,090,771","3,138,259",,"3,115,648","3,146,402",,0.001779112259,0.001762990529,,-0.009061670864,,-0.03412969283,-0.02413793103
33,New Hampshire,446110,Pharmacies and Drug Stores,01: Total,181,183,172,170,"3,080","2,705","2,640","2,511",,"1,355,064","1,360,783","1,366,275",,"1,378,587","1,387,505",,0.002272955373,0.001987826127,,-0.1254442784,,-0.06077348066,-0.07103825137
34,New Jersey,446110,Pharmacies and Drug Stores,01: Total,"1,621","1,638","1,666","1,699","24,227","22,886","24,098","23,719",,"8,891,730","8,891,258","8,882,371",,"9,271,689","9,267,961",,0.002724666628,0.002573988968,,-0.0553013199,,0.0481184454,0.03724053724
35,New Mexico,446110,Pharmacies and Drug Stores,01: Total,177,183,185,195,"3,304","3,512","3,494","3,541",,"2,093,754","2,099,634","2,106,319",,"2,118,390","2,116,677",,0.001578026836,0.001672672475,,0.05997720516,,0.1016949153,0.06557377049
36,New York,446110,Pharmacies and Drug Stores,01: Total,"4,453","4,488","4,456","4,469","60,244","55,814","55,280","54,341",,"19,544,098","19,463,131","19,336,776",,"20,108,296","19,857,492",,0.0030824651,0.002867678381,,-0.06968017868,,0.003593083315,-0.004233511586
37,North Carolina,446110,Pharmacies and Drug Stores,01: Total,"1,494","1,518","1,506","1,502","23,695","22,895","22,633","22,469",,"10,391,358","10,501,384","10,600,823",,"10,449,445","10,565,885",,0.002280260193,0.002180188821,,-0.04388594451,,0.005354752343,-0.01054018445
38,North Dakota,446110,Pharmacies and Drug Stores,01: Total,164,166,166,169,"1,606","1,609","1,585","1,626",,"760,062","763,724","765,309",,"779,518","777,934",,0.00211298552,0.002106782031,,-0.002935887795,,0.03048780488,0.01807228916
39,Ohio,446110,Pharmacies and Drug Stores,01: Total,"1,375","1,394","1,326","1,329","24,210","23,879","23,002","22,857",,"11,680,892","11,696,507","11,693,217",,"11,797,517","11,764,342",,0.002072615687,0.002041549669,,-0.01498879794,,-0.03345454545,-0.04662840746
40,Oklahoma,446110,Pharmacies and Drug Stores,01: Total,570,581,578,594,"7,828","7,805","7,928","8,078",,"3,943,488","3,960,676","3,980,783",,"3,964,912","3,991,225",,0.001985044712,0.001970623197,,-0.007265083227,,0.04210526316,0.02237521515
41,Oregon,446110,Pharmacies and Drug Stores,01: Total,327,321,302,303,"4,952","4,524","4,689","4,430",,"4,183,538","4,216,116","4,241,507",,"4,244,795","4,256,301",,0.001183687109,0.001073025505,,-0.09348889841,,-0.07339449541,-0.05607476636
42,Pennsylvania,446110,Pharmacies and Drug Stores,01: Total,"2,186","2,173","2,143","2,124","33,013","30,134","28,925","27,992",,"12,809,107","12,798,883","12,783,254",,"12,994,440","13,012,059",,0.002577306911,0.00235442421,,-0.08647891336,,-0.02836230558,-0.02254947078
44,Rhode Island,446110,Pharmacies and Drug Stores,01: Total,174,181,172,173,"3,208","3,411","2,973","2,918",,"1,059,338","1,058,158","1,057,125",,"1,096,345","1,096,985",,0.003028306357,0.003223526165,,0.06446501274,,-0.005747126437,-0.04419889503
45,South Carolina,446110,Pharmacies and Drug Stores,01: Total,708,717,729,716,"11,025","10,670","10,688","10,595",,"5,091,702","5,157,702","5,218,040",,"5,131,848","5,193,266",,0.002165287756,0.002068750773,,-0.04458390485,,0.01129943503,-0.001394700139
46,South Dakota,446110,Pharmacies and Drug Stores,01: Total,111,119,117,118,"1,346","1,421","1,741","1,737",,"879,386","887,127","892,717",,"887,799","896,164",,0.001530613405,0.001601799968,,0.04650851891,,0.06306306306,-0.008403361345
47,Tennessee,446110,Pharmacies and Drug Stores,01: Total,"1,051","1,075","1,065",990,"16,350","16,347","16,002","15,962",,"6,778,180","6,830,325","6,886,834",,"6,925,619","6,968,351",,0.002412151935,0.002393297537,,-0.007816422023,,-0.05803996194,-0.07906976744
48,Texas,446110,Pharmacies and Drug Stores,01: Total,"3,068","3,319","3,326","3,332","46,443","50,374","50,102","50,443",,"28,624,564","28,986,794","29,360,759",,"29,232,474","29,558,864",,0.001622487595,0.001737825853,,0.07108729715,,0.08604954368,0.003916842422
49,Utah,446110,Pharmacies and Drug Stores,01: Total,244,248,237,245,"3,882","4,259","3,949","4,015",,"3,155,153","3,203,383","3,249,879",,"3,283,785","3,339,113",,0.001230368226,0.001329531935,,0.08059677351,,0.004098360656,-0.01209677419
50,Vermont,446110,Pharmacies and Drug Stores,01: Total,100,99,97,97,"1,503","1,318","1,271","1,193",,"624,802","624,046","623,347",,"642,893","646,972",,0.002405562082,0.002112023793,,-0.1220248237,,-0.03,-0.0202020202
51,Virginia,446110,Pharmacies and Drug Stores,01: Total,987,990,961,954,"17,022","16,772","16,370","16,321",,"8,510,920","8,556,642","8,590,563",,"8,636,471","8,657,365",,0.002000018799,0.001960114727,,-0.01995184852,,-0.03343465046,-0.03636363636
53,Washington,446110,Pharmacies and Drug Stores,01: Total,668,684,660,659,"10,914","10,033","9,791","9,248",,"7,526,793","7,614,024","7,693,612",,"7,724,031","7,740,745",,0.001450019949,0.001317700076,,-0.09125382951,,-0.01347305389,-0.0365497076
54,West Virginia,446110,Pharmacies and Drug Stores,01: Total,401,401,396,394,"5,407","4,897","4,820","4,532",,"1,805,953","1,795,263","1,784,787",,"1,791,420","1,785,526",,0.002993987108,0.002727734042,,-0.08892926264,,-0.0174563591,-0.0174563591
55,Wisconsin,446110,Pharmacies and Drug Stores,01: Total,608,637,606,609,"12,353","12,747","12,441","12,599",,"5,809,319","5,824,581","5,832,655",,"5,896,271","5,880,101",,0.00212641103,0.002188483601,,0.02919123802,,0.001644736842,-0.04395604396
56,Wyoming,446110,Pharmacies and Drug Stores,01: Total,47,51,54,54,562,552,569,567,,"579,054","580,116","582,328",,"577,605","579,483",,0.0009705485153,0.0009515338312,,-0.01959168849,,0.1489361702,0.05882352941
