Duration (in seconds),RecordedDate,ResponseId,Q-prolific-mturk,q-demos-age,Q-demos-hispanic,Q-demos-race,Q-demos-education,Q-demos-income,Q-demos-gender,Q-sexual-orientation,Q-demos-state,Q-amazon-use-howmany,Q-amazon-use-hh-size,Q-amazon-use-how-oft,Q-substance-use_1,Q-substance-use_2,Q-substance-use_3,Q-personal_1,Q-personal_2,Q-life-changes,Q-control,Q-altruism,Q-bonus-05,Q-bonus-20,Q-bonus-50,Q-data-value-05,Q-data-value-20,Q-data-value-50,Q-data-value-100,Q-data-value-any,Q-data-value-any_1_TEXT,Q-sell-YOUR-data,Q-sell-consumer-data,Q-small-biz-use,Q-census-use,Q-research-society,Q-attn-check,showdata,incentive,connect
353,11/8/2022 9:38:47,R_8IbYFRjJvCXVtHX,No,18 - 24 years,No,White or Caucasian,Bachelor's degree,"$100,000 - $149,999",Female,heterosexual (straight),Pennsylvania,4+,4+,Less than 5 times per month,No,Yes,Yes,No,No,Moved place of residence,,,,,Consent to share  (receive $0.50 bonus),,,,,,,No,No,I don't know,No,Yes,"Yes,No,I don't know",true,bonus-50,
164,11/8/2022 9:38:49,R_3papb8tA6MhY9Ga,Yes,25 - 34 years,No,White or Caucasian,Bachelor's degree,"$25,000 - $49,999",Female,heterosexual (straight),Pennsylvania,1 (just me!),1 (just me!),5 - 10 times per month,No,Yes,Yes,No,No,,,Consent to share,,,,,,,,,,Yes if I get part of the profit,Yes if consumers get part of the profit,Yes,Yes,Yes,"Yes,No,I don't know",false,altruism,
242,11/8/2022 9:42:44,R_1hEjpnZ3LX7e07K,No,25 - 34 years,No,White or Caucasian,Bachelor's degree,"$50,000 - $74,999",Female,heterosexual (straight),New Hampshire,4+,1 (just me!),Less than 5 times per month,No,No,No,No,No,Moved place of residence,,,Consent to share (receive $0.05 bonus),,,,,,,,,Yes if I get part of the profit,Yes if consumers get part of the profit,Yes,I don't know,Yes,"Yes,No,I don't know",true,bonus-05,
583,11/8/2022 9:46:50,R_24f9hBh5NSWGX7k,No,45 - 54 years,No,White or Caucasian,"Graduate or professional degree (MA, MS, MBA, PhD, JD, MD, DDS, etc)",Prefer not to say,Female,heterosexual (straight),Kentucky,2,2,Less than 5 times per month,No,No,No,No,No,,,,,Consent to share (receive $0.20 bonus),,,,,,,,No,No,No,No,Yes,"Yes,No,I don't know",false,bonus-20,
355,11/8/2022 9:49:35,R_2PdHkMSzW7totCp,No,25 - 34 years,No,White or Caucasian,High school diploma or GED,"$75,000 - $99,999",Male,heterosexual (straight),Texas,2,2,Less than 5 times per month,No,No,No,No,No,,Consent to share,,,,,,,,,,,Yes if I get part of the profit,Yes if consumers get part of the profit,I don't know,Yes,I don't know,"Yes,No,I don't know",false,control,
4802,11/8/2022 11:02:52,R_2s5N6otvyWOSfuV,No,18 - 24 years,No,White or Caucasian,Bachelor's degree,"$50,000 - $74,999",Male,heterosexual (straight),South Carolina,2,3,More than 10 times per month,No,Yes,Yes,No,No,,,,,Decline,,,,Yes,,,,No,No,Yes,No,Yes,"Yes,No,I don't know",false,bonus-20,
350,11/9/2022 9:25:35,R_1ot2z2xc5wpqufx,No,25 - 34 years,No,White or Caucasian,Bachelor's degree,"$25,000 - $49,999",Female,heterosexual (straight),Louisiana,1 (just me!),2,Less than 5 times per month,No,Prefer not to say,Yes,No,No,Moved place of residence,Consent to share,,,,,,,,,,,No,Yes if consumers get part of the profit,No,No,No,"Yes,No,I don't know",false,control,
426,11/9/2022 9:26:25,R_2pS6trX78UqetHg,No,18 - 24 years,Yes,White or Caucasian,Bachelor's degree,"$25,000 - $49,999",Female,prefer not to say,Texas,1 (just me!),4+,Less than 5 times per month,No,No,Yes,Yes,No,,,,,,Consent to share  (receive $0.50 bonus),,,,,,,No,No,I don't know,No,I don't know,"Yes,No,I don't know",true,bonus-50,
135,11/9/2022 9:27:47,R_PzynrAQBzRiPa93,No,35 - 44 years,No,White or Caucasian,"Graduate or professional degree (MA, MS, MBA, PhD, JD, MD, DDS, etc)","$100,000 - $149,999",Male,heterosexual (straight),Texas,1 (just me!),4+,Less than 5 times per month,No,No,Yes,No,No,Moved place of residence,Consent to share,,,,,,,,,,,Yes if I get part of the profit,Yes if consumers get part of the profit,I don't know,Yes,Yes,"Yes,No,I don't know",false,control,
195,11/9/2022 9:34:04,R_1g0gCzG1DmCEKob,No,25 - 34 years,No,White or Caucasian,"Graduate or professional degree (MA, MS, MBA, PhD, JD, MD, DDS, etc)","$75,000 - $99,999",Female,heterosexual (straight),Pennsylvania,2,2,Less than 5 times per month,No,No,Yes,No,No,,,Consent to share,,,,,,,,,,No,No,Yes,Yes,No,"Yes,No,I don't know",false,altruism,
782,11/9/2022 9:52:20,R_279w6VtL6RMPoAy,No,25 - 34 years,No,White or Caucasian,Bachelor's degree,"$50,000 - $74,999",Female,heterosexual (straight),Delaware,1 (just me!),2,Less than 5 times per month,No,No,No,No,No,,Consent to share,,,,,,,,,,,No,No,No,No,No,"Yes,No,I don't know",false,control,
296,11/9/2022 10:57:18,R_2us4qPSxiD4clPq,Yes,35 - 44 years,No,White or Caucasian,High school diploma or GED,"$75,000 - $99,999",Male,heterosexual (straight),Montana,1 (just me!),2,5 - 10 times per month,No,No,Yes,No,No,,Consent to share,,,,,,,,,,,Yes if I get part of the profit,Yes if consumers get part of the profit,Yes,Yes,Yes,"Yes,No,I don't know",false,control,
480,11/9/2022 11:26:03,R_3pg3JqNkeNbi2fG,No,25 - 34 years,No,"White or Caucasian,Asian",High school diploma or GED,"Less than $25,000",Male,heterosexual (straight),Washington,1 (just me!),3,More than 10 times per month,No,No,Yes,No,No,,,,,,Consent to share  (receive $0.50 bonus),,,,,,,Yes if I get part of the profit,Yes if consumers get part of the profit,I don't know,No,I don't know,"Yes,No,I don't know",false,bonus-50,
533,11/9/2022 11:42:54,R_3CEpeAQBJC3VIo9,Yes,25 - 34 years,No,Black or African American,High school diploma or GED,"$50,000 - $74,999",Female,heterosexual (straight),Maryland,1 (just me!),4+,Less than 5 times per month,No,No,No,No,No,,,,Decline,,,,Yes,,,,,I don't know,I don't know,I don't know,I don't know,I don't know,"Yes,No,I don't know",false,bonus-05,
623,11/9/2022 12:08:14,R_1kHo9ivt7NVZL3L,Yes,25 - 34 years,No,White or Caucasian,Prefer not to say,"$25,000 - $49,999",Female,heterosexual (straight),Michigan,1 (just me!),3,5 - 10 times per month,No,No,No,Yes,No,,Decline,,,,,No,No,No,No,More than $1.00 (enter amount),30.00,Yes if I get part of the profit,Yes if consumers get part of the profit,I don't know,I don't know,Yes,"Yes,No,I don't know",true,control,
287,11/9/2022 12:15:06,R_111J2YLIGckNIeJ,No,35 - 44 years,No,White or Caucasian,High school diploma or GED,"Less than $25,000",Female,heterosexual (straight),New York,1 (just me!),1 (just me!),Less than 5 times per month,No,No,No,No,No,,,,Consent to share (receive $0.05 bonus),,,,,,,,,No,No,No,No,No,"Yes,No,I don't know",false,bonus-05,
911,11/9/2022 13:20:34,R_2q9Qi9d6STzOGuw,Yes,35 - 44 years,No,White or Caucasian,High school diploma or GED,"Less than $25,000",Male,heterosexual (straight),Ohio,2,3,More than 10 times per month,No,No,No,Yes,No,,,Consent to share,,,,,,,,,,Yes if I get part of the profit,Yes,Yes,Yes,Yes,"Yes,No,I don't know",true,altruism,
336,11/9/2022 13:34:56,R_8tXaTutYvYjPOoh,Yes,35 - 44 years,No,White or Caucasian,Bachelor's degree,"$75,000 - $99,999",Female,heterosexual (straight),Kentucky,1 (just me!),3,Less than 5 times per month,No,No,Yes,No,No,,,,,,Consent to share  (receive $0.50 bonus),,,,,,,Yes,Yes,Yes,No,Yes,"Yes,No,I don't know",false,bonus-50,
433,11/9/2022 13:45:27,R_2Ua7ev5fWion36a,Yes,25 - 34 years,No,White or Caucasian,Bachelor's degree,"$150,000 or more",Male,heterosexual (straight),Virginia,1 (just me!),3,More than 10 times per month,No,No,Yes,No,No,Had a child,,,,Consent to share (receive $0.20 bonus),,,,,,,,No,Yes if consumers get part of the profit,I don't know,I don't know,No,"Yes,No,I don't know",false,bonus-20,
1016,11/9/2022 14:33:12,R_1mQUNdA7gRaxdUg,No,18 - 24 years,No,Black or African American,Bachelor's degree,"$50,000 - $74,999",Female,heterosexual (straight),Georgia,1 (just me!),3,Less than 5 times per month,No,No,No,No,No,,Consent to share,,,,,,,,,,,Yes if I get part of the profit,No,I don't know,I don't know,I don't know,"Yes,No,I don't know",true,control,
1949,11/9/2022 14:47:14,R_2CggdEhlfitqYrc,Yes,35 - 44 years,No,Asian,Bachelor's degree,Prefer not to say,Female,heterosexual (straight),Illinois,1 (just me!),4+,Less than 5 times per month,No,No,No,No,No,,,,,Decline,,,,No,No,I would not consent to share my data for any amount.,,No,No,No,I don't know,No,"Yes,No,I don't know",false,bonus-20,
596,11/9/2022 14:56:24,R_UmBwrqd2lGfqkp3,No,65 and older,No,White or Caucasian,Bachelor's degree,"$75,000 - $99,999",Male,heterosexual (straight),Kentucky,1 (just me!),2,5 - 10 times per month,No,No,Yes,No,No,,Consent to share,,,,,,,,,,,No,No,Yes,Yes,Yes,"Yes,No,I don't know",false,control,
1077,11/9/2022 20:37:11,R_bdu9CINE19RDqsp,No,18 - 24 years,Yes,White or Caucasian,High school diploma or GED,"Less than $25,000",Male,heterosexual (straight),California,1 (just me!),2,Less than 5 times per month,No,No,No,No,No,Lost a job ,,,,Decline,,,,No,Yes,,,Yes if I get part of the profit,Yes if consumers get part of the profit,Yes,No,I don't know,"Yes,No,I don't know",false,bonus-20,
492,11/10/2022 6:22:04,R_2dmqKX6ss6HMnb7,Yes,35 - 44 years,No,Black or African American,Bachelor's degree,"$25,000 - $49,999",Female,heterosexual (straight),Missouri,2,1 (just me!),5 - 10 times per month,No,No,No,No,No,,,,,Consent to share (receive $0.20 bonus),,,,,,,,No,No,Yes,I don't know,No,"Yes,No,I don't know",true,bonus-20,
175,11/10/2022 8:17:47,R_2uJnrzmcdz6BzLc,No,45 - 54 years,No,White or Caucasian,Bachelor's degree,"Less than $25,000",Female,heterosexual (straight),Texas,1 (just me!),2,Less than 5 times per month,No,Yes,No,No,No,Lost a job ,Consent to share,,,,,,,,,,,Yes if I get part of the profit,Yes if consumers get part of the profit,No,No,Yes,"Yes,No,I don't know",true,control,
652,11/10/2022 8:32:47,R_3HBSzChLJ0THGv0,No,18 - 24 years,Yes,White or Caucasian,High school diploma or GED,"$75,000 - $99,999",Male,heterosexual (straight),California,3,4+,5 - 10 times per month,No,No,No,No,No,,,Consent to share,,,,,,,,,,No,No,No,No,I don't know,"Yes,No,I don't know",false,altruism,
536,11/10/2022 9:29:13,R_1KdlBlo1yOVwef9,No,35 - 44 years,No,White or Caucasian,"Graduate or professional degree (MA, MS, MBA, PhD, JD, MD, DDS, etc)","$100,000 - $149,999",Female,heterosexual (straight),Connecticut,1 (just me!),2,Less than 5 times per month,No,No,Yes,No,No,,,,,,Consent to share  (receive $0.50 bonus),,,,,,,Yes if I get part of the profit,Yes if consumers get part of the profit,I don't know,I don't know,Yes,"Yes,No,I don't know",false,bonus-50,
541,11/10/2022 18:52:48,R_1pXmZFz3j3TjBxz,No,45 - 54 years,No,White or Caucasian,High school diploma or GED,"$25,000 - $49,999",Male,heterosexual (straight),Texas,2,4+,5 - 10 times per month,Yes,Yes,Yes,Yes,No,Lost a job ,,,,,Consent to share  (receive $0.50 bonus),,,,,,,Yes if I get part of the profit,Yes if consumers get part of the profit,Yes,No,Yes,"Yes,No,I don't know",true,bonus-50,
528,11/11/2022 8:03:32,R_1hK1vuBfyfw5EGJ,No,45 - 54 years,No,Asian,"Graduate or professional degree (MA, MS, MBA, PhD, JD, MD, DDS, etc)","$100,000 - $149,999",Male,heterosexual (straight),Texas,4+,3,5 - 10 times per month,No,No,Yes,No,No,Moved place of residence,,,Consent to share (receive $0.05 bonus),,,,,,,,,Yes if I get part of the profit,No,Yes,Yes,Yes,"Yes,No,I don't know",false,bonus-05,
629,11/11/2022 8:08:30,R_3hosWdcmm0vvrdx,No,35 - 44 years,No,White or Caucasian,Bachelor's degree,"$150,000 or more",Female,heterosexual (straight),Maryland,1 (just me!),2,5 - 10 times per month,No,No,Yes,No,No,Moved place of residence,,,,Consent to share (receive $0.20 bonus),,,,,,,,No,No,I don't know,I don't know,I don't know,"Yes,No,I don't know",true,bonus-20,
270,11/12/2022 9:18:59,R_1GymT83N9uDSyIG,Yes,35 - 44 years,No,White or Caucasian,Bachelor's degree,"$50,000 - $74,999",Male,heterosexual (straight),Missouri,1 (just me!),3,Less than 5 times per month,Yes,No,Yes,No,No,,,,,,Consent to share  (receive $0.50 bonus),,,,,,,Yes if I get part of the profit,Yes if consumers get part of the profit,Yes,No,No,"Yes,No,I don't know",false,bonus-50,
948,11/12/2022 10:57:00,R_1gTncWbI4hULAit,No,45 - 54 years,No,White or Caucasian,Bachelor's degree,"$150,000 or more",Female,heterosexual (straight),Washington,2,4+,5 - 10 times per month,No,No,No,No,Yes,,Consent to share,,,,,,,,,,,I don't know,I don't know,Yes,No,I don't know,"Yes,No,I don't know",true,control,
1364,11/13/2022 2:18:22,R_2wsEjZPqLx1a09x,No,45 - 54 years,No,White or Caucasian,Bachelor's degree,"$50,000 - $74,999",Female,heterosexual (straight),California,1 (just me!),4+,Less than 5 times per month,Yes,No,No,No,No,,,Consent to share,,,,,,,,,,Yes if I get part of the profit,Yes if consumers get part of the profit,Yes,I don't know,I don't know,"Yes,No,I don't know",true,altruism,
336,11/13/2022 10:39:10,R_2QLigoO9nrSSnPT,No,25 - 34 years,No,White or Caucasian,"Graduate or professional degree (MA, MS, MBA, PhD, JD, MD, DDS, etc)","$150,000 or more",Female,heterosexual (straight),Idaho,1 (just me!),2,5 - 10 times per month,No,No,Yes,No,No,,,,Consent to share (receive $0.05 bonus),,,,,,,,,Yes if I get part of the profit,Yes if consumers get part of the profit,I don't know,I don't know,I don't know,"Yes,No,I don't know",false,bonus-05,
378,11/14/2022 21:20:56,R_Wx6piUhkouKzANb,Yes,25 - 34 years,Yes,"White or Caucasian,Other",High school diploma or GED,"$50,000 - $74,999",Male,heterosexual (straight),Texas,1 (just me!),3,Less than 5 times per month,No,I stopped in the recent past,Yes,No,No,,,Decline,,,,No,No,No,No,I would not consent to share my data for any amount.,,No,No,No,Yes,Yes,"Yes,No,I don't know",false,altruism,
295,11/14/2022 21:21:02,R_2Pb6kMuBgOduMwf,No,25 - 34 years,No,Asian,Bachelor's degree,"$150,000 or more",Female,heterosexual (straight),Georgia,1 (just me!),3,Less than 5 times per month,No,No,No,No,No,,Consent to share,,,,,,,,,,,Yes,Yes,Yes,No,Yes,"Yes,No,I don't know",true,control,
318,11/14/2022 21:21:29,R_1jImmHuCDaof0wB,No,25 - 34 years,No,White or Caucasian,Some high school or less,"Less than $25,000",Male,heterosexual (straight),Washington,2,1 (just me!),Less than 5 times per month,No,No,No,No,No,,,,,,Consent to share  (receive $0.50 bonus),,,,,,,Yes if I get part of the profit,No,No,No,No,"Yes,No,I don't know",false,bonus-50,
483,11/14/2022 21:23:26,R_21aNrgZVQUA7xK3,No,25 - 34 years,No,White or Caucasian,"Graduate or professional degree (MA, MS, MBA, PhD, JD, MD, DDS, etc)","$75,000 - $99,999",Male,heterosexual (straight),New York,1 (just me!),1 (just me!),Less than 5 times per month,No,No,Yes,No,No,,,,,,Consent to share  (receive $0.50 bonus),,,,,,,Yes if I get part of the profit,Yes if consumers get part of the profit,Yes,Yes,Yes,"Yes,No,I don't know",false,bonus-50,
563,11/14/2022 21:24:34,R_2338QGZaaaR1nho,No,55 - 64 years,No,White or Caucasian,High school diploma or GED,"$75,000 - $99,999",Female,heterosexual (straight),Kansas,3,3,5 - 10 times per month,No,No,No,No,No,,,,,Consent to share (receive $0.20 bonus),,,,,,,,No,No,No,No,No,"Yes,No,I don't know",true,bonus-20,
373,11/14/2022 21:25:27,R_31hpjsH6qTrIyHn,No,35 - 44 years,No,White or Caucasian,"Graduate or professional degree (MA, MS, MBA, PhD, JD, MD, DDS, etc)","$100,000 - $149,999",Male,heterosexual (straight),Connecticut,1 (just me!),2,Less than 5 times per month,No,No,No,No,No,,,,Consent to share (receive $0.05 bonus),,,,,,,,,Yes if I get part of the profit,Yes if consumers get part of the profit,Yes,Yes,Yes,"Yes,No,I don't know",false,bonus-05,
470,11/14/2022 21:26:04,R_2AWkL1j4mAcAll8,Yes,18 - 24 years,No,American Indian/Native American or Alaska Native,High school diploma or GED,"$25,000 - $49,999",Male,heterosexual (straight),Arizona,1 (just me!),1 (just me!),Less than 5 times per month,No,No,No,Yes,No,,,,,,Consent to share  (receive $0.50 bonus),,,,,,,Yes if I get part of the profit,Yes if consumers get part of the profit,No,No,Yes,"Yes,No,I don't know",false,bonus-50,
608,11/14/2022 21:29:09,R_2rJyfdZGQD2rif2,No,45 - 54 years,No,White or Caucasian,High school diploma or GED,"$100,000 - $149,999",Female,heterosexual (straight),California,2,4+,5 - 10 times per month,No,Yes,No,No,No,,,,,Consent to share (receive $0.20 bonus),,,,,,,,Yes if I get part of the profit,Yes if consumers get part of the profit,No,No,Yes,"Yes,No,I don't know",true,bonus-20,
957,11/14/2022 21:31:47,R_3nJBlarikgnKpF2,No,25 - 34 years,No,White or Caucasian,Bachelor's degree,"Less than $25,000",Female,heterosexual (straight),California,3,2,More than 10 times per month,No,No,No,No,No,,,,Consent to share (receive $0.05 bonus),,,,,,,,,No,No,Yes,No,Yes,"Yes,No,I don't know",false,bonus-05,
